track_id,label,nro_kf,img_name_0,x_0,y_0,r_0,img_name_1,x_1,y_1,r_1,img_name_2,x_2,y_2,r_2,img_name_3,x_3,y_3,r_3,img_name_4,x_4,y_4,r_4
0,baya,4,NULL,NULL,NULL,NULL,frame_000048.PNG,588,1152,34.5487,frame_000078.PNG,717,1322,36.21174,frame_000102.PNG,626,1273,38.92172,frame_000237.PNG,520,1225,32.03014
1,baya,4,NULL,NULL,NULL,NULL,frame_000048.PNG,618,1176,38.21796,frame_000078.PNG,756,1347,40.92249,frame_000102.PNG,677,1300,43.55606,frame_000237.PNG,581,1258,37.31863
2,baya,4,NULL,NULL,NULL,NULL,frame_000048.PNG,693,1182,37.02026,frame_000078.PNG,834,1361,38.58108,frame_000102.PNG,754,1316,40.75206,frame_000237.PNG,618,1261,33.92492
3,baya,4,NULL,NULL,NULL,NULL,frame_000048.PNG,618,1337,40.38762,frame_000078.PNG,748,1517,42.14285,frame_000102.PNG,670,1475,43.20185,frame_000237.PNG,574,1414,37.75765
4,baya,4,NULL,NULL,NULL,NULL,frame_000048.PNG,690,1277,44.1613,frame_000078.PNG,835,1460,47.56354,frame_000102.PNG,763,1420,49.22936,frame_000237.PNG,644,1364,41
5,baya,4,NULL,NULL,NULL,NULL,frame_000048.PNG,610,1371,35.08974,frame_000078.PNG,744,1550,36.51205,frame_000102.PNG,680,1511,37.22647,frame_000237.PNG,605,1459,33.39117
6,baya,3,NULL,NULL,NULL,NULL,frame_000048.PNG,628,1293,33.73841,frame_000078.PNG,769,1467,36.47235,frame_000102.PNG,703,1426,39.42223,NULL,NULL,NULL,NULL
7,baya,3,frame_000000.PNG,514,1164,35.83007,frame_000048.PNG,523,1220,41.64007,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000237.PNG,577,1316,36.68081
8,baya,4,frame_000000.PNG,533,1092,30.80866,frame_000048.PNG,516,1148,36.42147,frame_000078.PNG,648,1307,38.51304,frame_000102.PNG,569,1257,39.6321,NULL,NULL,NULL,NULL
9,baya,5,frame_000000.PNG,533,1213,38.93135,frame_000048.PNG,521,1283,44.63194,frame_000078.PNG,650,1447,47.29493,frame_000102.PNG,575,1401,48.79754,frame_000237.PNG,522,1356,39.83278
10,baya,5,frame_000000.PNG,558,1150,31.97181,frame_000048.PNG,547,1211,37.24266,frame_000078.PNG,678,1377,39.04152,frame_000102.PNG,599,1330,39.40076,frame_000237.PNG,526,1287,32.22002
11,cal_1,5,frame_000000.PNG,300.2,1389.6,NULL,frame_000048.PNG,247.94,1454.04,NULL,frame_000078.PNG,361.56,1592.38,NULL,frame_000102.PNG,290.46,1533.98,NULL,frame_000237.PNG,330.35,1472.38,NULL
12,cal_2,5,frame_000000.PNG,329.2,836.3,NULL,frame_000048.PNG,254.9,867.6,NULL,frame_000078.PNG,387.37,1013.13,NULL,frame_000102.PNG,291.41,954.73,NULL,frame_000237.PNG,324.11,999.13,NULL
